n_proyecto,direccion,cui,estado_actual,estado_a_fin_de_obra,intervenciones,presupuesto_estimado,presupuesto_final,estado,subestado,fuente,pase_dgar,inicio_obra,plazo_obra,ampliacion_de_plazo,avance_de_obra,fin_obra,expediente,eje
x091,GRAL. VENANCIO FLORES 3869,0200600,REGULAR,BUENO,Ampliación - rehabilitación parcial - instalación eléctrica,NA,"$78.558.808,00",En Obra,en obra,F11,03/02/2022,NA,300,NA,39%,28/8/2023,NA,Mejora Edilicia
x092,JUANA DE AZURDUY 2541,0200498,BUENO,BUENO,"Acond de sanitarios, prov de agua , carpinteria y pintura en areas sgnificativas",NA,"$ 78.540.321,55",Licitación,licitación,F11,2/2/2023,NA,300,NA,NA,10/6/2024,EX-2023-05772819- -GCABA-DGINFE,Mejora Edilicia
x093,2 DE ABRIL DE 1982 6950 - GOLETA SANTA CRUZ 6997,0200918,REGULAR,BUENO,"Carpinterías, cubierta y pintura en areas significativas",NA,"$ 222.519.817,56",Licitación,licitación,F11,17/06/2023,NA,210,NA,NA,Esperando corrección de fecha,EX-2022-32927431- -GCABA-DGINFE,Mejora Edilicia
x094,MENDOZA 1000,0200502,BUENO,BUENO,Accesibilidad plena. Acondicionamiento / recambio de carpinterías y herrajes. Subsanación de grietas en muros. Revestimiento de toda la fachada (se retiró parte del revestimiento de ladrillo original por desprendimiento) / contrapiso a nuevo del patio del comedor / detector de intrusos (alarma / amparo,NA,"$ 172.314.108,54",Licitación,licitación,F11,14/02/2023,NA,300,NA,NA,27/5/2024,EX-2023-05088322-GCABA-DGINFE,Mejora Edilicia
x095,RIVADAVIA 4950 - COMEDOR,0200427,REGULAR,BUENO,Creacion de un comedor,NA,"$ 80.229.731,43",En Obra,en obra,F11,30/11/2022,NA,210,NA,0%,28/12/2023,EX-2022-40597150- -GCABA-DGINFE,Mejora Edilicia
x096,NATATORIO ROMERO BREST,0200523,BUENO,BUENO,Adecuacion de pileta y sus instalaciones plan mejora de patio+muros+acond gas-electricidad+ sanitarios y pintura en areas significativas,$ 165.000.000,-,Planificado,a iniciar proyecto,F11,17/07/2024,NA,XXX,X,NA,Esperando corrección de fecha,NA,Mejora Edilicia
x097,ALVAREZ THOMAS 2253,0000000,NO APLICA,NO APLICA,"Completar: mamposterías, revoques y solados. Pintura completa. Provisión y colocación de carpinterías y herrerías. Completar instalaciones: eléctrica y sanitaria.ejecutar escalera a azotea (hormigón)",NA,"$ 77.013.940,81",Licitación,licitación,F11,13/02/2023,NA,330,NA,NA,26/6/2024,EX-2023-05737925-GCABA-DGINFE,Mejora Edilicia
x098,ROOSEVELT 1510,0200516,BUENO,BUENO,"Accesibilidad plena (ascensor en patio de planta baja), reutilizacion pb para conformar un aula y acondicionar baño de discapacitado (no funciona griferia y falta timbre) / amparo",NA,"$ 53.535.914,92",Licitación,licitación,F11,02/02/2023,NA,240,NA,NA,6/3/2024,EX-2023-05772934-GCABA-DGINFE,Mejora Edilicia
x099,BAHIA BLANCA 4025,0200801,NO APLICA,NO APLICA,"Refuncionalizacion edilicia: casa del casero en oficinas de la supervision. Accesibilidad basica, instalacion electrica completa, sanitaria y termomecanica.",$ 50.000.000,"$ 52.013.533,12",Licitación,licitación,F11,17/04/2023,NA,180,NA,NA,16/2/2024,EX-2023-14032175- -GCABA-DGINFE,Mejora Edilicia
x100,VILLA OLIMPICA - JOSE BENJAMIN ZUBIAUR 4180 Y 23 DE JUNIO 4155,0000000,NO APLICA,NO APLICA,"Sistema de alarma primaria, limpieza de terreno y cortinas. Ver posibilidad de incorporar mas tareas.",$ 70.000.000,"$ 414.271.095,70",En Proyecto,control doc,F11,17/06/2023,NA,300,X,NA,Esperando corrección de fecha,EX-2023-22595375- -GCABA-DGINFE,Mejora Edilicia
x102,LAMADRID 499,0200179,REGULAR,BUENO,"Historica. Fachada, patio, instalacion electrica,carpinterias,sanitarios y pintura",$ 79.000.000,-,Planificado,a iniciar proyecto,F11,26/01/2024,NA,270,X,NA,Esperando corrección de fecha,NA,Mejora Edilicia
x103,LACARRA 1151 Y AVDA. FRANCISCO BILBAO,0201864,BUENO,BUENO,"Fachadas exteriores (desprendimiento de pintura y revoques), humedad en subsuelo y levantamiento de solado, aulas en mal estado (placas de cielorraso faltantes, pinturas con grafitis), patio cubierto con filtración por cubierta de vidrio. Baños: filtración, faltante de cerámicos y artefactos de luz. pintura en general.",$ 28.000.000,"$193.375.773,70",Licitación,licitacion,F11,10/05/2023,NA,330,X,NA,2/8/2024,EX-2023-16512639- -GCABA-DGINFE,Mejora Edilicia
x104,LUIS VIALE 1052,0200369,REGULAR,BUENO,"Demolicion completa de contruccion en patio y trabajos de retiro de asbesto, accesibilidad  basica, cambio de carpinterias y cubierta  de galeria y paso que da al patio, nuevo nucleo sanitario en donde funcionaba la sala de maestro y sanitario adjunto. Demolicion de sanitarios en sum. Demolicion de parrilla y armado de lugar para gimnacio.  puesta en valor de sanitarios existentes y sala de auxiliares. Instalacion sanitaria (cambio de tanque bombeo) y adecuacion de instalacion electrica. Refuncionalizar casa del casero: cambio de cielorraso, puesta en valor del santario, cambio de carpinterias. Completamiento de medianera y arreglo de muro existente.",$ 18.000.000,-,En Proyecto,a pasar a cyp,F11,14/08/2023,NA,XXX,X,NA,Esperando corrección de fecha,NA,Mejora Edilicia
x105,GRAL URQUIZA 277,0200304,BUENO,BUENO,Casa de casero,NA,"$ 14.818.335,16",Licitación,licitación,F11,17/03/2023,NA,120,NA,NA,18/12/2023,EX-2023-11120643-GCABA-DGINFE,Mejora Edilicia
x106,JOSE CUBAS 4440,0200746,BUENO,BUENO,"Ie completa, accesibildiad (solo baño de discapacitados), impermeabilizacion, pintura y puesta envalor de casa del casero para uso administrativo.",$ 45.000.000,-,En Proyecto,en proyecto/instalaciones,F11,14/08/2023,NA,210,X,NA,Esperando corrección de fecha,NA,Mejora Edilicia
x107,TAMBORINI 3948 - PLANI,0200720,REGULAR,MUY BUENO,"Sanitarios, revoques, patios y pintura.",NA,"$ 60.242.413,56",Licitación,licitación,F11,08/02/2023,NA,180,NA,NA,19/12/2023,EX-2023-06139963-GCABA-DGINFE,Mejora Edilicia
x108,LIBERTADOR 4777,0200444,MUY BUENO,MUY BUENO,Electrica e incendio / amparo,NA,"$ 16.554.167,31",En Obra,en obra,F11,19/01/2023,NA,90,NA,0%%,2/10/2023,EX-2023-04145885-GCABA-DGINFE,Mejora Edilicia
x109,AYACUCHO 1849,0200016,BUENO,BUENO,Instalacion electrica,NA,-,En Proyecto,relicitar proyecto,F11,01/08/2023,NA,120,X,NA,19/3/2024,EX-2023-10133389-GCABA-DGINFE,Mejora Edilicia
x110,CARABOBO 253,0200563,BUENO,BUENO,Acondicionamiento de sanitarios pb y 1er. Pintura. Provision de piletones de acero inx. Acondicionamiento de solado en expansion descubierta del 2do piso. Creacion de sanitario para disca en pb. Rearmado de locales con tabiqueria en area de  pb. Colocacion de montaescalera en acceso (pb).,$ 55.000.000,"$ 35.559.575,36",Licitación,licitación,F11,17/04/2023,NA,150,NA,NA,12/1/2024,EX-2023-12513527- -GCABA-DGINFE,Mejora Edilicia
x111,PLANETARIO ASESORIA,00000GG,NO APLICA,NO APLICA,Asesoría,-,-,En Proyecto,en proyecto,F11,23/06/2023,NA,210,NA,NA,Esperando corrección de fecha,NA,Obra Nueva
x112,GURRUCHAGA  739,0200441,MUY BUENO,MUY BUENO,Instalacion electrica,NA,"$ 107.388.117,36",Fracasado,fracaso,F11,19/01/2023,NA,180,NA,NA,25/4/2024,EX-2023-04188732-GCABA-DGINFE,Mejora Edilicia
x112,GURRUCHAGA  739,0200441,MUY BUENO,MUY BUENO,Instalacion electrica,NA,"$ 162.327.060,67",Licitación,licitacion,F11,05/07/2023,NA,180,NA,NA,25/4/2024,EX-2023-25122380- -GCABA-DGINFE,Mejora Edilicia
x113,RIO DE JANEIRO 986,0200080,MUY BUENO,MUY BUENO,"Acc. plena, pintura y adecuacion de instalacion electrica",$ 60.000.000,-,En Proyecto,cyp,F11,12/07/2023,NA,270,X,NA,Esperando corrección de fecha,NA,Mejora Edilicia
x114,AV. ROCA 6902 - AUTODROMO,00000AU,MUY BUENO,MUY BUENO,"Demolicion de mamposterias, tabiques, pisos y canteros. Proveer y colocar reja de proteccion en las ventanas de aula y oficina. Ejecucion de contrapiso, carpeta y solado en sector terraza. Ejecucion de canteros. Provision y colocacion de lockers. Instalacion sanitaria: instalación y colocación de nuevos inodoros pedestal, cambio de placas afectadas por humedad, proveer y colocar accesorios y espejos en los sanitarios.",NA,"$ 16.136.338,49",En Obra,en obra,F11,26/01/2023,NA,90,NA,0%,13/9/2023,EX-2023-05133376-GCABA-DGINFE,Mejora Edilicia
x115,ZAPATA 449,0200442,MUY BUENO,MUY BUENO,"Impermeabilizacion, instalación pluvial y pintura",NA,"$21.196.326,51",Finalizado,finalizado,F11,-,NA,150,30,100%,16/11/2022,NA,Mejora Edilicia
x116,JUNCAL 690 Y BASAVILBASO 1295,0200006,BUENO,BUENO,"Reparacion de cubiertas (inicial y primaria), acc basica (montasilla y baño de disca), pintura general - instalacion electrica de la inicial - sector de sombras inicial y primaria - solado de patio de la primaria e inicial - recambio de carpinterias y colocacion de rejas - evaluacion de instalacion sanitaria + ee: remediacion de rejas",-,-,En Proyecto,cyp,F11,15/7/2023,NA,365,X,NA,Esperando corrección de fecha,NA,Mejora Edilicia
x117,ESTACION BUENOS AIRES PRIMARIA,00000EB,NA,NA,"Creacion de una escuela con 14 aulas comunes, 1 aula de música, 1 aula de
Plástica, 1 aula laboratorio y un espacio para biblioteca.
Además la escuela contara con un s.u.m. cubierto, comedor independiente para la
Población de la escuela, cocina y el área de gestión administrativa completa.",NA,"$ 1.000.867.656,29",Licitación,licitación,F14,25/11/2022,NA,540,NA,NA,2/1/2025,EX-2022-43300270-GCABA-DGINFE,Obra Nueva
x118,DOBLAS 1768,0000000,NA,NA,"Polideportivo contempla la construcción de un volumen de apoyo y servicios, un área de cancha cubierta con estructura liviana de chapa y un área de cancha descubierta de verde que permite terreno absorbente en pulmón de manzana.",NA,"$104.310.536,00",En Obra,en obra,F11,15/07/2022,NA,300,NA,7%,23/10/2023,NA,Obra Nueva
x119,LACARRA 535,0200644,NA,NA,"Área administrativa: sanitario del sector a nuevo. Se colocara cielorrasos suspendidos en todo el área. Se realizará una nueva inst. Eléctrica. Se pintara completamente todo el sector.
En el edificio donde funciona el taller de electrónica, en planta baja: 
Puesta en valor de los sanitarios de docentes, office, sanitarios de alumnos y taller de electrónica.
En la planta alta de este mismo edificio, puesta en valor del aula de computación y el pasillo a fin de dar respuesta a la salida de emergencia. 
En el taller de hormigón armado que se encuentra en otro sector de la escuela sobre planta baja, se dará intervención al sanitario existente de docentes y al patio descubierto.
Puesta en valor del sum y biblioteca.
Intervencion de cubiertas (membranas, asbesto, cambio de tejas y chapas,etc..)
Cambio de tanques e instalación eléctrica.",-,"$ 296.246.046,16",Licitación,licitación,F11,25/04/2023,NA,360,NA,NA,14/9/2024,EX-2023-14216567- -GCABA-DGINFE,Mejora Edilicia
x121,"QUINQUELA MARTIN, BENITO 1649 GRUPO -",0200193,NA,NA,2do año,NA,"$ 16.847.977,00",Finalizado,finalizado,F11,NA,NA,90,NA,100%,Esperando corrección de fecha,NA,SDF
x122,AV. GAONA 1502 GRUPO -,0200382,NA,NA,2do año,NA,"$ 21.328.799,40",En Obra,en obra,F11,NA,NA,90,NA,90%,Esperando corrección de fecha,NA,SDF
x123,PUMACAHUA 390 GRUPO 1,0200575,NA,NA,2do año,NA,"$ 12.251.853,18",Finalizado,finalizado,F11,NA,NA,90,NA,DGMESC,Esperando corrección de fecha,EX-2022-30146484- -GCABA-DGINFE,SDF
x123,AV. CRAMER 2136 GRUPO 1,0200527,NA,NA,2do año,NA,NA,Finalizado,finalizado,F11,NA,NA,90,NA,DGMESC,Esperando corrección de fecha,EX-2022-30146484- -GCABA-DGINFE,SDF
x123,"CNEL. FALCON, RAMON L.,2248 GRUPO 1",0200571,NA,NA,2do año,NA,NA,Finalizado,finalizado,F11,NA,NA,90,NA,DGMESC,Esperando corrección de fecha,EX-2022-30146484- -GCABA-DGINFE,SDF
x124,CALLAO AV. 450 GRUPO 2,0200030,NA,NA,2do año,NA,"$ 10.995.542,81",Finalizado,finalizado,F11,NA,NA,60,NA,100%,Esperando corrección de fecha,NA,SDF
x124,LIBERTAD 1257 GRUPO 2,0200022,NA,NA,2do año,NA,NA,Finalizado,finalizado,F11,NA,NA,60,NA,100%,Esperando corrección de fecha,NA,SDF
x125,"CHILAVERT, MARTINIANO, CORONEL 5460 GRUPO -",0200963,NA,NA,2do año,NA,"$ 10.987.525,74",Finalizado,finalizado,F11,NA,NA,60,NA,100%,Esperando corrección de fecha,NA,SDF
x126,GALLARDO 149 GRUPO 3,0200827,NA,NA,2do año,NA,"$ 10.495.552,03",Finalizado,finalizado,F11,NA,NA,60,NA,100%,4/4/2023,NA,SDF
x126,MORON 4149 GRUPO 3,0200839,NA,NA,2do año,NA,NA,Finalizado,finalizado,F11,NA,NA,60,NA,100%,23/3/2023,NA,SDF
x127,COCHABAMBA 2830 GRUPO 4,0200319,NA,NA,2do año,NA,"$ 10.389.408,89",Finalizado,finalizado,F11,-,NA,60,NA,100%,8/2/2023,NA,SDF
x127,MALABIA 2148 GRUPO 4,0200470,NA,NA,2do año,NA,NA,Finalizado,finalizado,F11,-,NA,60,NA,100%,8/2/2023,NA,SDF
x128,AV. JUJUY 150 GRUPO 5,0200318,NA,NA,2do año,NA,"$ 11.032.939,77",Finalizado,finalizado,F11,-,NA,60,NA,100%,30/1/2023,NA,SDF
x128,FORMOSA 136 GRUPO 5,0200426,NA,NA,2do año,NA,NA,Finalizado,finalizado,F11,-,NA,60,NA,100%,30/1/2023,NA,SDF
x129,PADILLA 1051 GRUPO 6,0200385,NA,NA,2do año,NA,"$ 10.478.388,00",Finalizado,finalizado,F11,NA,NA,60,NA,100%,18/3/2023,NA,SDF
x129,AV. RIVADAVIA 5161 GRUPO 6,0200380,NA,NA,2do año,NA,NA,Finalizado,finalizado,F11,NA,NA,60,NA,100%,18/3/2023,NA,SDF
x130,AV.LARRAZABAL 5140 GRUPO 7,0200965,NA,NA,2do año,NA,"$ 12.078.433,53",Finalizado,finalizado,F11,NA,NA,60,NA,100%,11/3/2023,NA,SDF
x130,AQUINO 6040 GRUPO 7,0200962,NA,NA,2do año,NA,NA,Finalizado,finalizado,F11,NA,NA,60,NA,100%,11/3/2023,NA,SDF
x131,PASEO COLON AV. 650 GRUPO -,0200195,NA,NA,2do año,NA,"$15.065.382,22",Finalizado,finalizado,F11,26/12/2022,NA,60,NA,100%,Esperando corrección de fecha,NA,SDF
x132,"MAGARIÑOS CERVANTES, A. 5068 GRUPO -",0200832,NA,NA,2do año,NA,"$4.480.668,05",Finalizado,finalizado,F11,30/12/2022,NA,60,NA,100%,1/4/2023,NA,SDF
x133,ACASSUSO 6138 ANEXO GRUPO -,0200655,NA,NA,2do año,NA,"$ 9.544.010,42",Finalizado,finalizado,F11,17/01/2023,NA,60,NA,100%,16/3/2023,NA,SDF
x134,AV. DEL CAMPO 1340 GRUPO 8,0200683,NA,NA,2do año,NA,"$ 5.828.108,93",Finalizado,finalizado,F11,17/01/2023,NA,60,NA,100%,16/3/2023,NA,SDF
x134,AV. LACARRA 1151 GRUPO 8,0201864,NA,NA,2do año,NA,NA,Finalizado,finalizado,F11,17/01/2023,NA,60,NA,100%,16/3/2023,NA,SDF
x135,AYACUCHO 875 GRUPO -,0200029,NA,NA,2do año,NA,"$16.949.483,60",En Obra,en obra,F11,28/12/2022,NA,60,NA,90%,Esperando corrección de fecha,NA,SDF
x136,AV.JOSE MARIA MORENO 345 GRUPO 9,0200425,NA,NA,3er año,NA,"$ 9.183.031,77",Finalizado,finalizado,F11,NA,NA,60,NA,100%,11/3/2023,NA,SDF
x136,"LARRALDE, CRISOLOGO AV. 5085 GRUPO 9",0202188,NA,NA,3er año,NA,NA,Finalizado,finalizado,F11,NA,NA,60,NA,100%,11/3/2023,NA,SDF
x137,NICASIO OROÑO 2131 GRUPO 10,0200679,NA,NA,3er año,NA,NA,Finalizado,finalizado,F11,NA,NA,60,NA,100%,20/3/2023,NA,SDF
x137,MANUEL PORCEL DE PERALTA 1437 GRUPO 10,0200795,NA,NA,3er año,NA,"$ 9.016.883,18",Finalizado,finalizado,F11,NA,NA,60,NA,100%,20/3/2023,NA,SDF
x138,SOLDADO DE LA FRONTERA AV. 5155 GRUPO 11,0200964,NA,NA,3er año,NA,"$ 10.448.171,65",Finalizado,finalizado,F11,NA,NA,60,NA,DGMESC,Esperando corrección de fecha,NA,SDF
x138,MARTINEZ CASTRO 3067 GRUPO 11,0200863,NA,NA,3er año,NA,NA,Finalizado,finalizado,F11,NA,NA,60,NA,DGMESC,Esperando corrección de fecha,NA,SDF
x139,AV. RIESTRA 5030 GRUPO 12,0200949,NA,NA,3er año,NA,"$ 6.561.356,06",Finalizado,finalizado,F11,NA,NA,60,NA,100%,19/3/2023,NA,SDF
x139,AV. SAENZ 631 GRUPO 12,0200886,NA,NA,3er año,NA,NA,Finalizado,finalizado,F11,NA,NA,60,NA,100%,19/3/2023,NA,SDF
x140,"ALBERDI, JUAN BAUTISTA AV. 4139 GRUPO 13",0202662,NA,NA,3er año,NA,"$ 7.291.811,55",Finalizado,finalizado,F11,NA,NA,60,NA,100%,11/3/2023,NA,SDF
x140,MURGUIONDO 1568 GRUPO 13,0200642,NA,NA,3er año,NA,NA,Finalizado,finalizado,F11,NA,NA,60,NA,100%,11/3/2023,NA,SDF
x141,ZUVIRIA 6550 GRUPO 14,0202584,NA,NA,3er año,NA,"$ 10.558.870,06",Finalizado,finalizado,F11,NA,NA,60,NA,100%,Esperando corrección de fecha,NA,SDF
x141,ECUADOR 1158 GRUPO 14,0200098,NA,NA,3er año,NA,NA,Finalizado,finalizado,F11,NA,NA,60,NA,100%,4/4/2023,NA,SDF
x142,"GOMEZ, VALENTIN 3163 GRUPO 15",0200099,NA,NA,3er año,NA,"$ 9.961.270,29",Finalizado,finalizado,F11,NA,NA,60,NA,100%,4/4/2023,NA,SDF
x142,"VILLAFAÑE, WENCESLAO 1342 GRUPO 15",0200197,NA,NA,3er año,NA,NA,Finalizado,finalizado,F11,NA,NA,60,NA,100%,4/4/2023,NA,SDF
x143,SANTA MAGDALENA 431 GRUPO -,0200257,NA,NA,3er año,NA,"$ 10.865.886,45",Finalizado,finalizado,F11,NA,NA,60,NA,100%,Esperando corrección de fecha,NA,SDF
x144,Oliden 1245 GRUPO 16,0200650,NA,NA,3er año,NA,NA,Finalizado,finalizado,F11,NA,NA,60,NA,100%,Esperando corrección de fecha,NA,SDF
x144,"ALBERDI, JUAN BAUTISTA AV. 1845 GRUPO 16",0200572,NA,NA,3er año,NA,"$ 9.031.814,20",Finalizado,finalizado,F11,NA,NA,60,NA,100%,Esperando corrección de fecha,NA,SDF
x145,AV. ESCALADA 2890 GRUPO 17,0200647,NA,NA,3er año,NA,NA,En Obra,en obra,F11,NA,NA,60,NA,0%,Esperando corrección de fecha,NA,SDF
x145,"AGUSTIN DE VEDIA, 2519 GRUPO 17",0200871,NA,NA,3er año,NA,"$ 10.450.124,54",En Obra,en obra,F11,NA,NA,60,NA,0%,Esperando corrección de fecha,NA,SDF
x146,AVDA. MARTIN GARCIA 874,0000000,NA,NA,Obra nueva,NA,$ 184.675.400,En Obra,en obra,F11,NA,NA,720,100,55%,23/7/2023,NA,Obra Nueva
x147,LOPE DE VEGA Y MURATURE,0000000,NA,NA,Obra nueva,NA,$ 627.986.500,En Obra,en obra,F11,NA,NA,450,75,63%,23/6/2023,NA,Obra Nueva
x148,VENEZUELA 3259,0202635,REGULAR,BUENO,Instalacion electirca impermeabilizacion,NA,"$ 10.721.309,20",Finalizado,finalizado,F11,7/5/2021,NA,120,NA,100%,25/1/2022,NA,Mejora Edilicia
x149,FRANKLIN 1836,0200362,BUENO,BUENO,Sanitarios. (Fondos covid),NA,"$5.455.138,73",Finalizado,finalizado,F14 (COVID),NA,NA,90,NA,100%,3/4/2022,NA,Mejora Edilicia
x150,PELLEGRINI 1515,0200032,BUENO,BUENO,Puesta en valor de la escalera,NA,$ 5.101.483,Finalizado,finalizado,F11,NA,NA,60,NA,100%,19/11/2021,NA,Mejora Edilicia
x151,ZUVIRIA 6554,0202584,MUY BUENO,MUY BUENO,"Tanque de bombeo, bombas (fondos covid)",NA,"$6.266.250,00",Finalizado,finalizado,F11,NA,NA,60,NA,100%,11/4/2022,NA,Mejora Edilicia
x152,AVDA. RIESTRA 3300,0202388,REGULAR,BUENO,Instalacion electrica,NA,"$ 4.194.032,33",Finalizado,finalizado,F11,NA,NA,90,NA,100%,17/2/2022,NA,Mejora Edilicia
x153,DON PEDRO DE MENDOZA 1777,0200196,REGULAR,BUENO,"Reparacion de aleros, cubiertas.",NA,"$20.615.534,00",Finalizado,finalizado,F11,NA,NA,180,NA,100%,23/3/2022,NA,Mejora Edilicia
x154,SIMBRON 5855,0202395,MUY BUENO,MUY BUENO,Impermeabilizacion,NA,"$ 26.245.160,70",Finalizado,finalizado,F11,18/6/2021,NA,180,NA,100%,3/4/2022,NA,Mejora Edilicia
x155,PERU 1357,0202569,REGULAR,BUENO,"Instalacion electrica, ampliacion, mejora edilicia",NA,"$37.437.202,59",Finalizado,finalizado,F11,24/6/2021,NA,120,NA,100%,19/3/2022,NA,Mejora Edilicia
x156,SAAVEDRA 695,0200299,BUENO,MUY BUENO,Mejora edilicia en varios sectores,NA,"$19.393.947,10",Finalizado,finalizado,F11,NA,NA,120,NA,100%,23/3/2022,NA,Mejora Edilicia
x157,PASEO COLON 255 (4to),0200200,NO APLICA,NO APLICA,Conformación de la biblioteca de la universidad de la ciudad,NA,"$8.993.290,61",Finalizado,finalizado,F11,NA,NA,60,NA,100%,5/3/2022,NA,Mejora Edilicia
x159,LETONIA Y ANTARTIDA ARGENTINA,0202678,NO APLICA,NO APLICA,"Obra en escuela temporaria de la media, se desafecta el edificio y paso a justicia",NA,"$3.543.233,80",Finalizado,finalizado,F11,NA,NA,75,NA,100%,Esperando corrección de fecha,NA,Mejora Edilicia
x160,ASAMBLEA 1221,0200405,BUENO,MUY BUENO,Acondicionamiento de patio,NA,"$11.916.990,30",Finalizado,finalizado,F11,NA,NA,150,NA,100%,Esperando corrección de fecha,NA,Mejora Edilicia
x161,SCALABRINI ORTIZ 1336,0200443,BUENO,BUENO,Sanitario e impermeabilizacion,NA,"$3.377.362,43",Finalizado,finalizado,F11,NA,NA,90,NA,100%,Esperando corrección de fecha,NA,Mejora Edilicia
x162,PIO COLLIVADINO 436,0200643,REGULAR,BUENO,Reparacion de medianera,NA,"$3.194.103,73",Finalizado,finalizado,F11,NA,NA,Sin plazo,NA,100%,Esperando corrección de fecha,NA,Mejora Edilicia
x163,JUAN DE GARAY 3972,0200311,BUENO,MUY BUENO,Pintura y acondicionamiento de patio,NA,"$21.902.996,14",Finalizado,finalizado,F11,NA,NA,150,NA,100%,Esperando corrección de fecha,NA,Mejora Edilicia
x164,ALBERDI 4139,0202662,MUY BUENO,MUY BUENO,"Trabajos en  medianeras, subsuelo por filtraciones",NA,"$ 21.196.325,51",Finalizado,finalizado,F11,NA,NA,150,NA,100%,17/10/2022,NA,Mejora Edilicia
x165,Jose A. Cortejarena 3350,0200255,REGULAR,REGULAR,Sanitarios. (Fondos covid),NA,"$5.956.117,25",Finalizado,finalizado,F14 (COVID),NA,NA,90,NA,100%,25/8/2022,NA,Mejora Edilicia
x166,Lynch 3536,0200244,REGULAR,REGULAR,Sanitarios. (Fondos covid),NA,"$3.630.761,13",Finalizado,finalizado,F14 (COVID),NA,NA,90,NA,100%,19/9/2022,NA,Mejora Edilicia
x167,NUÑEZ 3638,0200529,REGULAR,BUENO,"Restauracion de fachadas, humedades de cimientos, instalacion electrica completa",NA,"$31.955.000,00",Finalizado,neutralizada,F11,NA,NA,210,166,100%,12/11/2022,NA,Mejora Edilicia
x168,RONDEAU 2751,0200312,BUENO,BUENO,Restauracion de cielorrasos de sector pileta,NA,"$6.373.844,67",Finalizado,finalizado,F11,NA,NA,120,NA,100%,14/1/2022,NA,Mejora Edilicia
x169,ALEJANDRO MAGARIÑOS CERVANTES 5068,0200832,REGULAR,REGULAR,"Instalacion electrica completa, sanitarios",NA,"$44.077.559,00",Finalizado,neutralizada,F11,NA,NA,180,172,100%,22/9/2022,NA,Mejora Edilicia
x170,PLANETARIO,00000GG,NO APLICA,NO APLICA,"Instalacion de caldera electrica, tendido electrico al edificio desde ct",NA,"$19.209.834,00",Finalizado,neutralizada,F11,NA,NA,90,187,100%,5/7/2022,NA,Mejora Edilicia
x171,FORMOSA 136,0200426,BUENO,MUY BUENO,"Accesibilidad, ascensor. (amparo)",NA,"$25.771.052,00",Finalizado,finalizado,F11,NA,NA,210,NA,100%,25/4/2022,NA,Mejora Edilicia
x172,PASEO COLON 255 (5to),0200200,NO APLICA,NO APLICA,Conformacion de 4 aulas y apoyo administrativo,NA,"$13.195.684,00",Finalizado,finalizado,F11,NA,NA,60,NA,100%,20/8/2022,NA,Mejora Edilicia
x173,JERONIMO SALGUERO 920,0200100,NA,NA,Puesta en funcionamineot de la calefaccion,NA,-,En Proyecto,en proyecto/instalaciones,F11,14/8/2023,NA,Sin plazo,NA,100%,Esperando corrección de fecha,NA,433
x173,JERONIMO SALGUERO 920,0200100,REGULAR,BUENO,"Mejora edilicia, sanitarios, talleres.",NA,"$71.082.274,66",Finalizado,neutralizada,F11,NA,NA,365,50,100%,7/1/2023,NA,Mejora Edilicia
x174,AVDA. RIVADAVIA 4950,0200427,REGULAR,BUENO,"Instalacion electrica completa, impermeabilizacion, restauracion de un sector de fachada",NA,"$113.225.803,05",Finalizado,neutralizada,F11,NA,NA,210,NA,100%,13/9/2022,NA,Mejora Edilicia
x175,PARQUE DE LA CIUDAD,00000PQ,NO APLICA,NO APLICA,"Obra nueva, pileta",NA,"$84.449.064,70",Finalizado,neutralizada,F11,NA,NA,120,60,100%,24/5/2022,NA,Mejora Edilicia
x176,AYACUCHO 1849,0200016,BUENO,BUENO,Instalación eléctrica,NA,"$3.666.231,00",Finalizado,finalizado,F14 (COVID),NA,NA,90,NA,100%,03/03/2023,NA,Mejora Edilicia
x177,SAN PEDRO 4457,0200635,BUENO,BUENO,Rehabilitación de núcleo sanitario de pb.,NA,"$2.663.284,39",Finalizado,finalizado,F14 (COVID),NA,NA,90,NA,100%,Esperando corrección de fecha,NA,Mejora Edilicia
x178,QUITO 4043,0200420,REGULAR,BUENO,Mejoramiento edilicio e instalación eléctrica,NA,"$25.301.985,80",En Obra,en obra,F14,12/7/2022,NA,120,NA,97%,30/8/2023,NA,Mejora Edilicia
x179,DR. TOMAS MANUEL DE ANCHORENA 441,0200079,REGULAR,BUENO,Adecuacion inst y pintura,NA,"$20.773.909,53",En Obra,f14 - en obra,F14,11/7/2022,NA,180,NA,52%,7/8/2023,NA,Mejora Edilicia
x180,ESMERALDA 285 CAF,0200026,REGULAR,BUENO,"Restauracion de fachadas, refacciones generales de cielorrasos, pisos, sala
De cooperadora y sala docente , inst eléctrica, sanitarios",NA,"$63.582.703,57",En Obra,en obra,F14,16/5/2022,NA,310,NA,8%,4/12/2023,NA,Mejora Edilicia
